Turn,Color.BLUE_VP,Color.RED_VP,Color.BLUE_Class,Color.RED_Class,Num_Players,Num_Turns,Winner,Game_ID
0,0,0,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
1,1,0,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
2,1,0,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
3,1,1,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
4,1,1,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
5,1,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
6,1,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
7,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
8,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
9,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
10,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
11,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
12,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
13,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
14,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
15,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
16,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
17,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
18,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
19,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
20,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
21,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
22,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
23,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
24,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
25,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
26,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
27,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
28,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
29,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
30,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
31,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
32,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
33,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
34,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
35,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
36,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
37,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
38,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
39,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
40,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
41,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
42,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
43,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
44,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
45,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
46,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
47,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
48,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
49,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
50,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
51,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
52,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
53,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
54,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
55,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
56,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
57,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
58,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
59,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
60,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
61,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
62,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
63,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
64,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
65,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
66,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
67,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
68,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
69,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
70,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
71,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
72,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
73,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
74,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
75,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
76,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
77,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
78,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
79,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
80,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
81,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
82,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
83,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
84,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
85,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
86,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
87,2,2,ResourceHoarderPlayer,RandomPlayer,2,789,Color.BLUE,1
